,sentiment,generation_number
0,0.904841959476471,0.0
1,0.4975815713405609,0.0
2,0.5570327639579773,0.0
3,0.2694673240184784,0.0
4,0.44450536370277405,0.0
5,0.6454896926879883,0.0
6,0.9603661298751831,0.0
7,0.8102027773857117,0.0
8,0.17219442129135132,0.0
9,0.556955873966217,1.0
10,0.4909247159957886,1.0
11,0.24163755774497986,1.0
12,0.6867273449897766,1.0
13,0.6395687460899353,1.0
14,0.6681810617446899,1.0
15,0.9231507182121277,1.0
16,0.9399763345718384,1.0
17,0.20565618574619293,1.0
18,0.40540310740470886,1.0
19,0.49769631028175354,2.0
20,0.7925205230712891,2.0
21,0.3977106511592865,2.0
22,0.7804732918739319,2.0
23,0.8547990322113037,2.0
24,0.2892821431159973,2.0
25,0.3798591196537018,2.0
26,0.708721399307251,2.0
27,0.4223492443561554,2.0
28,0.6286773681640625,2.0
29,0.46878430247306824,3.0
30,0.4419834613800049,3.0
31,0.5475950241088867,3.0
32,0.2155483067035675,3.0
33,0.3316839039325714,3.0
34,0.24997355043888092,3.0
35,0.9841917753219604,3.0
36,0.642865777015686,3.0
37,0.7300265431404114,3.0
38,0.04062027111649513,4.0
39,0.39234045147895813,4.0
40,0.5460793972015381,4.0
41,0.013555184938013554,4.0
42,0.18337520956993103,4.0
43,0.11481186747550964,4.0
44,0.902845561504364,4.0
45,0.7509716153144836,4.0
46,0.33396950364112854,4.0
47,0.9342713952064514,4.0
48,0.18334920704364777,5.0
49,0.5650125741958618,5.0
50,0.13112209737300873,5.0
51,0.3495289087295532,5.0
52,0.9411802887916565,5.0
53,0.8562366962432861,5.0
54,0.9317739605903625,5.0
55,0.18461965024471283,5.0
56,0.7816702723503113,5.0
57,0.5092883110046387,0.0
58,0.9191418886184692,0.0
59,0.9228804707527161,0.0
60,0.7811664938926697,0.0
61,0.9688014984130859,0.0
62,0.1670503467321396,0.0
63,0.6378438472747803,0.0
64,0.7797911763191223,0.0
65,0.7642512321472168,0.0
66,0.1044703871011734,0.0
67,0.7772886753082275,1.0
68,0.872891366481781,1.0
69,0.7779638767242432,1.0
70,0.7260401844978333,1.0
71,0.268037348985672,1.0
72,0.8803333044052124,1.0
73,0.7642703652381897,1.0
74,0.420072466135025,1.0
75,0.6562361717224121,1.0
76,0.7335025668144226,1.0
77,0.9080461859703064,2.0
78,0.5356013178825378,2.0
79,0.800472617149353,2.0
80,0.6397262811660767,2.0
81,0.8970903158187866,2.0
82,0.46123307943344116,2.0
83,0.8175132274627686,2.0
84,0.9226166605949402,2.0
85,0.6386727094650269,2.0
86,0.674260675907135,3.0
87,0.1096804216504097,3.0
88,0.47601547837257385,3.0
89,0.929968535900116,3.0
90,0.5851078629493713,3.0
91,0.8596799969673157,3.0
92,0.6824557781219482,3.0
