,exploration,generation number
0,45.0402620748511,0.0
1,56.52114997513249,1.0
2,55.956522992122004,2.0
3,44.88185103005628,3.0
4,54.14402416157709,4.0
5,45.07999770867287,5.0
6,59.50963502205761,0.0
7,57.6682898722901,1.0
8,44.02950797935475,2.0
9,46.53878054819732,3.0
10,27.771886646811232,4.0
11,46.49687374817557,5.0
12,56.27086166484658,0.0
13,56.7196196185382,1.0
14,35.89282130631239,2.0
15,54.92910733573445,3.0
16,56.51705174909571,4.0
17,45.314463396989254,5.0
18,45.206504529299494,0.0
19,44.971764430846804,1.0
20,34.73294834291663,2.0
21,36.99447721567537,3.0
22,18.348408678808415,4.0
23,36.308322998796754,5.0
24,57.87308871779278,0.0
25,56.96519685090105,1.0
26,57.41354644717005,2.0
27,46.28075178582917,3.0
28,60.084056507116046,4.0
29,44.51231970287024,5.0
30,56.34847542415211,0.0
31,46.42243820637913,1.0
32,45.659075706963236,2.0
33,58.545643538588536,3.0
34,58.712703024422375,4.0
35,46.816536113473326,5.0
36,41.751170377363735,0.0
37,53.484400832810685,1.0
38,52.71448286250741,2.0
39,44.12300288307865,3.0
40,54.92880215725187,4.0
41,55.45506505186506,5.0
42,58.946434862268376,0.0
43,47.46557613699296,1.0
44,57.985801733183656,2.0
45,59.753867958889536,3.0
46,59.390403632453335,4.0
47,47.242067980356644,5.0
48,44.9026269113389,0.0
49,56.968886118871175,1.0
50,56.85705251094891,2.0
51,55.904718102859405,3.0
52,45.30193550633965,4.0
53,57.82122119061827,5.0
54,46.233007157955996,0.0
55,36.17857306637147,1.0
56,56.480311146692486,2.0
57,57.4128106215059,3.0
58,58.265264393502974,4.0
59,58.68918111467184,5.0
60,44.04060865333679,0.0
61,56.92144904622422,1.0
62,46.883865998398555,2.0
63,46.03116654322351,3.0
64,56.188346866100034,4.0
65,57.053006637548485,5.0
66,56.58917637029453,0.0
67,45.283554140763506,1.0
68,46.932905441647804,2.0
69,57.22099055859424,3.0
70,56.79254592595771,4.0
71,57.651445268706205,5.0
72,59.00402601975467,0.0
73,58.152598095768646,1.0
74,54.89632017161615,2.0
75,55.34373468351746,3.0
76,57.61232391809996,4.0
77,45.82484134382353,5.0
78,57.60163462652456,0.0
79,58.21922397235327,1.0
80,58.129378126546825,2.0
81,59.2343792985162,3.0
82,57.77945633365076,4.0
83,58.219504495156336,5.0
84,59.18149762646845,0.0
85,58.69646564388204,1.0
86,45.756851378640036,2.0
87,38.017451199252555,3.0
88,47.39877716006146,4.0
89,46.403663253046666,5.0
90,44.602944807599876,0.0
91,56.84727354482835,1.0
92,44.28871754454096,2.0
93,35.50084427517782,3.0
94,35.07568374278753,4.0
95,58.142028139093945,5.0
96,56.62701906226056,0.0
97,58.54402448137126,1.0
98,58.26251646063093,2.0
99,58.36612604627074,3.0
100,46.034381283511955,4.0
101,58.774223229688964,5.0
102,56.58042291323515,0.0
103,25.555051502062696,1.0
104,35.71406242697501,2.0
105,44.02180772814888,3.0
106,42.93597502750187,4.0
107,43.415934590320994,5.0
108,45.92953732764271,0.0
109,58.10717768404029,1.0
110,46.37740586033043,2.0
111,56.60583027909839,3.0
112,56.92622730662767,4.0
113,57.79542804725485,5.0
114,45.84714633657587,0.0
115,56.786453131149614,1.0
116,34.749609407428736,2.0
117,35.88294707369119,3.0
118,58.93577230076538,4.0
119,58.66731253657646,5.0
120,44.049860316360636,0.0
121,35.23265703430803,1.0
122,35.30137166830961,2.0
123,26.10498177256142,3.0
124,26.435897808595353,4.0
125,12.352564264998149,5.0
126,47.820609397991745,0.0
127,57.29672060364506,1.0
128,57.844431804594656,2.0
129,58.17443820036279,3.0
130,58.89801134670725,4.0
131,46.4242182838452,5.0
132,46.88679724084794,0.0
133,47.10583059140839,1.0
134,57.18529629419318,2.0
135,28.074220193917558,3.0
136,46.524450668715176,4.0
137,47.46593356286023,5.0
138,45.04506480866637,0.0
139,57.557393893403216,1.0
140,56.263686463469085,2.0
141,57.58963329849935,3.0
142,35.58606840991866,4.0
143,58.29328430890089,5.0
144,59.013362444798,0.0
