,sentiment,generation number
0,0.8890419602394104,1.0
1,0.9831478595733643,1.0
2,0.8242666721343994,1.0
3,0.45016735792160034,1.0
4,0.8255231380462646,1.0
5,0.636497974395752,1.0
6,0.8293865323066711,1.0
7,0.8283187747001648,1.0
8,0.8865240812301636,1.0
9,0.8890419602394104,1.0
10,0.4048313796520233,1.0
11,0.9717496037483215,1.0
12,0.6932215094566345,1.0
13,0.9910385608673096,1.0
14,0.9190796613693237,1.0
15,0.8522574305534363,1.0
16,0.9217332601547241,1.0
17,0.9064674973487854,1.0
18,0.8576244115829468,1.0
19,0.7223858833312988,1.0
20,0.9766311049461365,1.0
21,0.9076047539710999,1.0
22,0.9656561613082886,1.0
23,0.5288112759590149,1.0
24,0.9952569603919983,1.0
25,0.7981343865394592,1.0
26,0.8644503355026245,1.0
27,0.9845573902130127,1.0
28,0.8824172616004944,1.0
29,0.9658254981040955,1.0
30,0.9809685945510864,1.0
31,0.8144617080688477,1.0
32,0.9068427085876465,1.0
33,0.9356765747070312,1.0
34,0.26146459579467773,1.0
35,0.9042810797691345,1.0
36,0.9233310222625732,1.0
37,0.8989096879959106,1.0
38,0.8931354880332947,1.0
39,0.8877214193344116,1.0
40,0.019641943275928497,1.0
41,0.0496126227080822,1.0
42,0.10650323331356049,1.0
43,0.12381480634212494,1.0
44,0.9416219592094421,1.0
45,0.9937024116516113,1.0
46,0.8248752951622009,1.0
47,0.9848061203956604,1.0
48,0.9579461812973022,1.0
49,0.9088703393936157,1.0
50,0.7737289667129517,1.0
51,0.5927181839942932,1.0
52,0.9790149331092834,1.0
53,0.9677044749259949,1.0
54,0.7808286547660828,1.0
55,0.8595284223556519,1.0
56,0.8130159378051758,1.0
57,0.8021284341812134,1.0
58,0.4914681315422058,1.0
59,0.845362663269043,1.0
60,0.9678047299385071,1.0
61,0.9266098141670227,1.0
62,0.9442227482795715,1.0
63,0.8953452706336975,1.0
64,0.7676142454147339,1.0
65,0.9862691760063171,1.0
66,0.7718698978424072,1.0
67,0.9317885637283325,1.0
68,0.9837532043457031,1.0
69,0.9896814227104187,1.0
70,0.8291208148002625,1.0
71,0.8683431148529053,1.0
72,0.9639044404029846,1.0
73,0.9774608612060547,1.0
74,0.7113459706306458,1.0
75,0.9313966631889343,1.0
76,0.9428759813308716,1.0
77,0.7251477837562561,1.0
78,0.9179418683052063,1.0
79,0.9381645917892456,1.0
80,0.8260095715522766,1.0
81,0.673843502998352,1.0
82,0.9903008937835693,1.0
83,0.8294663429260254,1.0
