,semantic dissimilarity,generation number
0,5.644523768028688,1.0
1,4.236629641442602,1.0
2,5.7481873174583455,1.0
3,5.273860480671762,1.0
4,6.059546023394441,1.0
5,4.080141330193053,1.0
6,5.10467830636433,1.0
7,5.468331425132405,1.0
8,5.639817324915057,1.0
9,5.945921645437077,1.0
10,5.0205966235319925,1.0
11,6.093143646418477,1.0
12,4.443183770192768,1.0
13,5.478963172314932,1.0
14,5.9718754595023675,1.0
15,4.790968123119017,1.0
16,5.0756298940872115,1.0
17,5.328121324354551,1.0
18,5.9987333987371505,1.0
19,4.5326571971398835,1.0
20,4.8200422979281905,1.0
21,5.694563682708699,1.0
22,5.133772250308881,1.0
23,4.855085529140993,1.0
24,4.87734152472912,1.0
25,5.996660169671789,1.0
26,5.072839847689221,1.0
27,4.426084249933084,1.0
28,4.4560935807427065,1.0
29,5.398697881176778,1.0
30,5.337282332404367,1.0
31,6.075672050358724,1.0
32,5.245761066332555,1.0
33,5.605647738289598,1.0
34,4.042651167058924,1.0
35,4.985696210155664,1.0
36,4.914296688924934,1.0
37,5.081407894633818,1.0
38,5.218695913010007,1.0
39,5.06304991749578,1.0
40,4.759562060908233,1.0
41,5.473274638243189,1.0
42,5.673154967137942,1.0
43,4.9149527163119435,1.0
44,4.688315229654467,1.0
45,5.678521443291076,1.0
46,5.101604567355015,1.0
47,5.099227232762115,1.0
48,5.4773319775744005,1.0
49,6.122355353635056,1.0
50,4.061205480280389,1.0
51,5.579645821345041,1.0
52,4.444489946025637,1.0
53,5.399218462200239,1.0
54,4.302829470428044,1.0
55,5.716903262576628,1.0
56,4.355775488971438,1.0
57,5.830518422624109,1.0
58,6.1218238947989905,1.0
59,4.98383903869876,1.0
60,5.234962946956697,1.0
61,4.6046496558538665,1.0
62,3.6840132016362137,1.0
63,4.503465749155599,1.0
64,6.0816676216120555,1.0
65,4.977906195491283,1.0
66,5.481501887771626,1.0
67,5.991934663484983,1.0
68,4.902211635186164,1.0
69,4.860743226578122,1.0
70,4.6317499150750185,1.0
71,5.121278238737765,1.0
72,4.836360963545304,1.0
73,6.245821565686826,1.0
74,5.619283289238135,1.0
75,4.428714571364108,1.0
76,4.733227730868056,1.0
77,5.254515963415527,1.0
78,5.315886974726572,1.0
79,5.2343954024526775,1.0
80,5.894903411897297,1.0
81,5.2077638314427155,1.0
82,4.953966612831541,1.0
83,4.9109806122103405,1.0
84,5.016978203298384,1.0
85,4.523365748196169,1.0
86,5.444642763924439,1.0
87,5.115297055914744,1.0
88,5.8760385269938995,1.0
89,5.347497305295916,1.0
90,5.464610303463436,1.0
91,5.300134453582294,1.0
92,4.958252919650947,1.0
93,4.198121851543634,1.0
94,6.117163473943497,1.0
95,5.25697520947177,1.0
96,5.489086845867357,1.0
97,4.534610200364334,1.0
98,3.0843493333090173,1.0
99,5.130502203539528,1.0
100,5.118264441313717,1.0
101,5.236998661409202,1.0
102,4.900594855315578,1.0
103,4.797769036437408,1.0
104,5.226982184475759,1.0
105,5.482903905787219,1.0
106,5.027496905677337,1.0
107,5.044959137866474,1.0
108,4.016176918538387,1.0
109,6.144523789740074,1.0
110,4.965122606193314,1.0
111,5.126886625515518,1.0
112,5.299617536887417,1.0
113,5.026408690005217,1.0
114,4.400467106334601,1.0
115,4.4293718273938145,1.0
116,5.096040761165753,1.0
117,5.2429470724081755,1.0
118,4.477985703120821,1.0
119,4.697081365314287,1.0
120,4.436656992875964,1.0
121,4.919875457881508,1.0
122,4.063440877852927,1.0
123,5.37004330179003,1.0
124,5.106041053116651,1.0
125,5.152895165227592,1.0
126,4.985410665835664,1.0
127,5.029416585018317,1.0
128,4.332620083691825,1.0
129,4.282525214842229,1.0
130,5.294894531289733,1.0
131,5.587697936727712,1.0
132,4.044493709687033,1.0
133,5.602229500207022,1.0
134,5.4300843277492445,1.0
135,5.128043797986912,1.0
136,4.913236810840251,1.0
137,4.775402146123907,1.0
138,5.105017578013134,1.0
139,3.97298049192632,1.0
140,5.119520225050241,1.0
141,5.036671073387596,1.0
142,5.179140881571551,1.0
143,5.641174974129277,1.0
144,6.024014010700143,1.0
145,4.850022569281871,1.0
146,3.9063151792871946,1.0
147,5.12766247331874,1.0
148,5.037259122795145,1.0
149,4.931622340693763,1.0
150,5.829572634000103,1.0
151,5.1617615860479065,1.0
152,5.4920972116050075,1.0
153,4.876828133375362,1.0
154,5.438202349354844,1.0
155,5.028982678168647,1.0
156,5.678635868840309,1.0
157,5.073238263947236,1.0
158,4.978981196662303,1.0
159,4.880878262250216,1.0
160,5.369883604435574,1.0
161,3.9911499113913544,1.0
162,5.438032103131623,1.0
163,4.924670113444898,1.0
164,5.724880669182411,1.0
165,5.462760835358657,1.0
166,5.4042959074986685,1.0
167,5.108678104125057,1.0
168,4.749764927354621,1.0
169,4.739058519691471,1.0
170,5.936629574221158,1.0
171,5.335358136707113,1.0
172,4.412686926934496,1.0
173,4.16501143737186,1.0
174,5.473632033232439,1.0
175,5.316796413711078,1.0
176,3.914810639772229,1.0
177,5.0047100764883865,1.0
178,3.739925649038739,1.0
179,5.2897704882491725,1.0
180,4.982241630902915,1.0
181,5.513148009802212,1.0
182,5.194234178772515,1.0
183,4.9853035406544,1.0
184,4.941949111863889,1.0
185,5.218367440916433,1.0
186,5.191317698487411,1.0
187,5.685957736790297,1.0
188,5.289389099740339,1.0
189,4.924789204647325,1.0
190,5.554259815582373,1.0
191,4.8641347017924925,1.0
192,4.680276657165928,1.0
193,5.137009507391378,1.0
194,5.473273484813663,1.0
195,5.696074162952697,1.0
196,4.537094071182637,1.0
197,4.070813152902491,1.0
198,4.9803349811261075,1.0
199,4.706038724550668,1.0
200,5.613616520232214,1.0
201,5.197794514233952,1.0
202,5.1207215717029975,1.0
203,4.962292411610312,1.0
204,4.386421827019461,1.0
205,4.860349582014056,1.0
206,4.745464036294836,1.0
207,4.716675824997584,1.0
208,5.719176709102698,1.0
209,4.4769245902832395,1.0
210,5.207114253960577,1.0
211,4.488736007584838,1.0
212,4.795742812480763,1.0
213,5.086893597136043,1.0
214,4.39036664512798,1.0
215,5.2018943266769995,1.0
216,4.980478774101776,1.0
217,5.66070952184335,1.0
218,4.669954935709885,1.0
219,4.4982867769769115,1.0
220,5.0034136066907315,1.0
221,4.7687761727881,1.0
222,5.0873263726186675,1.0
223,4.307315603158361,1.0
224,4.718816433900811,1.0
225,5.0951778281165305,1.0
226,4.229311434502668,1.0
227,4.823353465311027,1.0
228,4.810093194147368,1.0
229,5.34925630118867,1.0
230,5.319642102790852,1.0
