,exploration,generation number
0,55.811740305282406,1.0
1,62.00616367574825,2.0
2,58.55074065941189,3.0
3,57.4074772418882,4.0
4,53.098096608502814,5.0
5,50.23846260450992,6.0
6,61.422016873049124,7.0
7,51.630489609990015,8.0
8,51.55332477610003,1.0
9,58.17376401512111,2.0
10,52.902072761837005,3.0
11,27.966048585834066,4.0
12,50.97719297302279,5.0
13,50.87206019854002,6.0
14,59.588121667060484,7.0
15,59.37948253553432,8.0
16,65.62860059478948,1.0
17,52.55273018922395,2.0
18,60.714596840039206,3.0
19,57.20359262520917,4.0
20,58.213114405684664,5.0
21,60.69393373243982,6.0
22,54.29453701520866,7.0
23,57.23808420862511,8.0
24,52.234211358898264,1.0
25,58.315337215489336,2.0
26,51.93401353047811,3.0
27,48.6339206922531,4.0
28,52.88926567600824,5.0
29,46.85399216895081,6.0
30,47.63706882705415,7.0
31,45.951123582556654,8.0
32,45.70368430092607,1.0
33,45.52143705155169,2.0
34,46.673763543667384,3.0
35,42.66880175794106,4.0
36,42.95960862044503,5.0
37,43.530047339241975,6.0
38,43.9181378495088,7.0
39,44.29676957594377,8.0
40,61.857409330243286,1.0
41,61.80024710515383,2.0
42,56.71564656000683,3.0
43,58.20964601641072,4.0
44,55.77478063040054,5.0
45,54.807127654750424,6.0
46,66.5988785179796,7.0
47,59.32963927625221,8.0
48,53.38046420443301,1.0
49,50.85079884691025,2.0
50,58.13559368185265,3.0
51,52.5708850033149,4.0
52,57.37151166161864,5.0
53,54.85256786686693,6.0
54,55.27875998870408,7.0
55,62.24122582385982,8.0
56,53.784570444384485,1.0
57,60.1222416971482,2.0
58,57.01048377240585,3.0
59,53.482152565811035,4.0
60,56.35016205664758,5.0
61,58.902268322910416,6.0
62,61.547096081648434,7.0
63,69.00106496880476,8.0
64,58.625840092757045,1.0
65,56.1628969060367,2.0
66,56.953891336601046,3.0
67,53.41379638078037,4.0
68,55.858004401592204,5.0
69,50.402915087145104,6.0
70,57.76660230467124,7.0
71,53.95265172815773,8.0
72,61.70739003683495,1.0
73,58.93307132536842,2.0
74,53.17524360858573,3.0
75,59.76199755645227,4.0
76,62.79857729199523,5.0
77,60.36836583521836,6.0
78,55.525047917128035,7.0
79,60.93145596916803,8.0
80,58.78125347203907,1.0
81,49.180859116295316,2.0
82,50.160525720680155,3.0
83,54.24766028686876,4.0
84,60.59258319415331,5.0
85,56.246465638515,6.0
86,57.161697297305395,7.0
87,63.45441092061093,8.0
88,55.600860021085126,1.0
89,48.66763378144005,2.0
90,61.31537346438003,3.0
91,54.85701912412821,4.0
92,51.757523380761754,5.0
93,47.546279119825094,6.0
94,59.60793377100441,7.0
95,47.22270737819186,8.0
96,44.12209021300521,1.0
97,45.93929377931328,2.0
98,47.45426531046775,3.0
99,45.24526931896581,4.0
100,47.93886217671752,5.0
101,7.202231520478302,6.0
102,7.105725953235968,7.0
103,7.893937328737029,8.0
104,64.10596166377223,1.0
105,58.76759997365734,2.0
106,57.08765377936018,3.0
107,56.020039363643704,4.0
108,56.44058063188099,5.0
109,53.48962681337958,6.0
110,52.469425692157294,7.0
111,60.63540610159418,8.0
112,54.914862188014226,1.0
113,58.69253951823017,2.0
114,56.358214410633536,3.0
115,54.138917467038624,4.0
116,53.48342040095935,5.0
117,47.23406376695298,6.0
118,55.41736182177293,7.0
119,49.777483842878496,8.0
120,41.86279996125843,1.0
121,40.235472339879834,2.0
122,39.26150831718639,3.0
123,39.72420655909531,4.0
124,43.29794737106144,5.0
125,44.318290480358044,6.0
126,37.57324158867644,7.0
127,41.95536172799007,8.0
128,56.55054426989141,1.0
129,57.23780253552747,2.0
130,57.04923061861241,3.0
131,62.13867348914212,4.0
132,56.09517269114954,5.0
133,57.493308075601576,6.0
134,59.08099272165492,7.0
135,59.54287953564663,8.0
136,60.911514968058924,1.0
137,55.298097743099554,2.0
138,57.23792281426574,3.0
139,60.29657710269448,4.0
140,62.98047917318808,5.0
141,59.21693048438162,6.0
142,62.97969089665578,7.0
143,55.84370752830402,8.0
144,64.25883215383291,1.0
145,57.40251873778528,2.0
146,63.20911797773725,3.0
147,60.15878273516,4.0
148,67.33586359573486,5.0
149,62.97755948763522,6.0
150,66.81945548004529,7.0
151,63.3928253064923,8.0
152,46.039450650709206,1.0
153,43.7601950399885,2.0
154,41.381381695801345,3.0
155,47.6367923598605,4.0
156,52.24477943912799,5.0
157,47.76103477135357,6.0
158,46.19676067946863,7.0
159,45.23473541403886,8.0
160,60.764269855404265,1.0
161,57.180076365060266,2.0
162,53.126220806971105,3.0
163,55.374581613760114,4.0
164,57.536495725293435,5.0
165,61.25990091374783,6.0
166,60.909082894366406,7.0
167,60.30715165172976,8.0
168,43.68495058633721,1.0
169,52.99915075029866,2.0
170,45.652552816786894,3.0
171,48.9705083107793,4.0
172,53.95022867426742,5.0
173,43.71822724726494,6.0
174,43.29730012733738,7.0
175,47.97715082511322,8.0
176,54.24348872090773,1.0
177,57.09836124904008,2.0
178,54.911367329111954,3.0
