,Exploration,Generation Number
301,374.0273371548117,2.0
302,381.82421947650727,3.0
303,395.791260769151,4.0
304,407.9498172410175,5.0
305,368.16024650238165,6.0
306,438.6801994036563,1.0
307,459.4816460903352,2.0
308,421.68355512909653,3.0
309,419.26228534309223,4.0
310,435.64726107733367,5.0
311,432.98081478857256,6.0
312,372.3595109925943,1.0
313,349.46006964633705,2.0
314,353.4312812863832,3.0
315,361.3272136130072,4.0
316,357.90368588296604,5.0
317,356.1803686784768,6.0
318,435.89394361283894,1.0
319,449.99203664476124,2.0
320,415.1850438913129,3.0
321,419.99976643041913,4.0
322,418.83224265364254,5.0
323,335.61810255985705,6.0
324,430.4257701051759,1.0
325,436.72506203129166,2.0
326,413.93849618216564,3.0
327,439.24726350599207,4.0
328,440.6817158647473,5.0
329,419.1244934731732,6.0
330,423.437848932821,1.0
331,444.2317532805963,2.0
332,391.0784352226711,3.0
333,394.48193674775234,4.0
334,413.57716805649517,5.0
335,401.5243682914604,6.0
336,402.8123585590643,1.0
337,375.17808653479415,2.0
338,390.4921102318865,3.0
339,407.36604089427067,4.0
340,392.3022806511429,5.0
341,401.08735635028296,6.0
342,435.56486851435625,1.0
343,422.08578570293434,2.0
344,410.23238289072856,3.0
345,451.6907429897183,4.0
346,421.7077088913222,5.0
347,437.71006312102645,6.0
348,383.4773981514283,1.0
349,403.7167991688923,2.0
350,395.2037316531022,3.0
351,409.49017841492156,4.0
352,388.2622526834521,5.0
353,388.9026557016188,6.0
354,391.74571571680826,1.0
355,413.64677644382004,2.0
356,387.44803325355736,3.0
357,413.3013645963576,4.0
358,380.0619526773474,5.0
359,375.18181787765946,6.0
360,424.87621753810123,1.0
361,416.03589405390517,2.0
362,398.9781738634869,3.0
363,406.54145607148087,4.0
364,400.0067944605408,5.0
365,430.30538097337984,6.0
366,343.6541992148172,1.0
367,342.28227249303444,2.0
368,360.3123794074704,3.0
369,331.8339814649046,4.0
370,341.1140302088402,5.0
371,355.9387140410015,6.0
372,405.30935279471237,1.0
373,434.334233393404,2.0
374,422.85971465916464,3.0
375,425.36067565042873,4.0
376,403.0776810681269,5.0
377,384.35061468970673,6.0
378,379.25140067895666,1.0
379,334.5759674239659,2.0
380,370.79712908532673,3.0
381,373.99019012081584,4.0
382,396.7278092113355,5.0
383,364.8372282732263,6.0
384,398.155021034624,1.0
385,403.18572554889465,2.0
386,424.02743985487547,3.0
387,452.958981975476,4.0
388,467.00252596101143,5.0
389,227.62044042812252,6.0
390,440.79360454154283,1.0
391,454.85248602920433,2.0
392,440.5833325737961,3.0
393,423.43361412345473,4.0
394,419.8048043797962,5.0
395,416.5193944075344,6.0
396,424.4535404248047,1.0
397,393.1127563711562,2.0
398,420.5765030743027,3.0
399,391.7346596366951,4.0
400,382.31336642366557,5.0
401,390.72450146717495,6.0
402,354.69675195362987,1.0
403,363.9381734913118,2.0
404,369.46021876087275,3.0
405,376.44011625292086,4.0
406,358.400810429342,5.0
407,342.1957383858488,6.0
408,378.2108052422671,1.0
409,352.1351018245795,2.0
410,368.326716653896,3.0
411,357.9537807969226,4.0
412,384.2783184827525,5.0
413,381.78117259283925,6.0
414,405.4124721710874,1.0
415,395.68069671060437,2.0
416,440.3797946080648,3.0
417,406.0802800943755,4.0
418,406.6635053528778,5.0
419,439.7223411781195,6.0
420,438.46259264342234,1.0
421,416.2621747567231,2.0
422,455.1030458960431,3.0
423,428.72387608301125,4.0
424,458.34980006684947,5.0
425,442.09852692325035,6.0
426,432.0480770514526,1.0
427,415.8425744228626,2.0
428,423.39542418386355,3.0
429,426.3571081151569,4.0
430,415.5445244475644,5.0
431,388.43395635364436,6.0
432,398.5968693081092,1.0
433,386.34189913305687,2.0
434,376.01242703251455,3.0
435,352.4905003178385,4.0
436,387.8112623355988,5.0
437,358.82993988318276,6.0
438,412.4024262465313,1.0
439,452.3991705010819,2.0
440,441.9226500931625,3.0
441,432.1332193028445,4.0
442,434.27154719569506,5.0
443,431.23460072458744,6.0
444,335.1347065059012,1.0
445,331.73172078461135,2.0
446,305.18713404333846,3.0
447,343.2026531442926,4.0
448,356.7905398109896,5.0
449,339.27956909309046,6.0
450,391.91714868352017,1.0
451,371.4993431102101,2.0
452,394.79137349579105,3.0
453,391.85924685754713,4.0
454,407.09622425839507,5.0
455,390.1096527659087,6.0
456,445.5979714594551,1.0
457,425.80449340087085,2.0
458,435.89859150731564,3.0
459,422.53768611185484,4.0
460,406.6632804674187,5.0
461,416.9674253872779,6.0
462,402.97039293433545,1.0
463,400.60621330819765,2.0
464,431.24960921724215,3.0
465,398.1808170231134,4.0
466,383.1501496224239,5.0
467,396.2597797634985,6.0
468,341.95327836711743,1.0
469,325.0284896763234,2.0
470,336.7762763593782,3.0
471,323.15663356736223,4.0
472,350.13479991556295,5.0
473,321.11512325554935,6.0
474,373.4854076801575,1.0
475,388.5542421438284,2.0
476,400.2048063843319,3.0
477,398.92582294759575,4.0
478,376.83511434400316,5.0
479,388.1166167094298,6.0
480,373.1467072693621,1.0
481,390.1700472526547,2.0
482,383.23283018651813,3.0
483,405.9905690522062,4.0
484,398.14218240299357,5.0
485,394.3623319042736,6.0
